iter	MultiClass
0	2.172976388
1	2.150046915
2	2.128026732
3	2.107093525
4	2.087197611
5	2.067832859
6	2.048921899
7	2.030848926
8	2.013940869
9	1.997562837
10	1.981444791
11	1.965681928
12	1.949874691
13	1.934811763
14	1.920582272
15	1.90673565
16	1.893530557
17	1.880374009
18	1.867912657
19	1.854710408
20	1.842408915
21	1.83008353
22	1.817766108
23	1.805322771
24	1.793638913
25	1.782876103
26	1.771792813
27	1.760637842
28	1.749341974
29	1.738468797
30	1.728565214
31	1.718082302
32	1.707936368
33	1.697848272
34	1.688191212
35	1.67859218
36	1.669290302
37	1.660153595
38	1.651151338
39	1.641990547
40	1.632685067
41	1.623977689
42	1.615135102
43	1.606969126
44	1.59838994
45	1.590271467
46	1.582446546
47	1.574140432
48	1.565992945
49	1.557602823
50	1.549937573
51	1.542177506
52	1.534677711
53	1.527071816
54	1.520035579
55	1.512643211
56	1.505500684
57	1.498396274
58	1.491632349
59	1.484463559
60	1.477455102
61	1.470520129
62	1.46393152
63	1.457167406
64	1.450710308
65	1.444080549
66	1.437591688
67	1.431443502
68	1.42538596
69	1.419037806
70	1.412822679
71	1.406662167
72	1.400847356
73	1.394700782
74	1.38875721
75	1.382968663
76	1.377140103
77	1.371371847
78	1.365816928
79	1.360168804
80	1.354681773
81	1.349288326
82	1.343782048
83	1.338306016
84	1.332786653
85	1.327518554
86	1.322124064
87	1.316849327
88	1.311650539
89	1.306551782
90	1.301615256
91	1.296602118
92	1.291687021
93	1.286741013
94	1.282209353
95	1.277254717
96	1.272201662
97	1.267285711
98	1.262623584
99	1.258138669
100	1.253727047
101	1.249052025
102	1.244651781
103	1.239904129
104	1.235227495
105	1.230701335
106	1.226209972
107	1.221817693
108	1.217978478
109	1.213592552
110	1.209433047
111	1.205329863
112	1.201076016
113	1.196812971
114	1.192572208
115	1.188480497
116	1.184012934
117	1.17987078
118	1.175796041
119	1.171542668
120	1.167516286
121	1.163562533
122	1.159442282
123	1.155716847
124	1.151666855
125	1.147636301
126	1.143891144
127	1.140084356
128	1.136240306
129	1.132292052
130	1.128518451
131	1.124749021
132	1.121144382
133	1.11786449
134	1.114132987
135	1.110540484
136	1.107103292
137	1.103837053
138	1.100235069
139	1.096628534
140	1.092981512
141	1.089469604
142	1.086003587
143	1.082574264
144	1.079202969
145	1.075710782
146	1.072370208
147	1.069224291
148	1.066291048
149	1.06289529
150	1.059678451
151	1.056311327
152	1.05326402
153	1.050222117
154	1.047232458
155	1.044051175
156	1.040930101
157	1.037965852
158	1.035042849
159	1.03196833
160	1.029178449
161	1.026012242
162	1.023214112
163	1.020198094
164	1.017365831
165	1.014395609
166	1.011579275
167	1.008533105
168	1.005708048
169	1.002942156
170	1.000172471
171	0.9972114469
172	0.9943898976
173	0.9914459402
174	0.988814498
175	0.9860905149
176	0.9836231052
177	0.9810034202
178	0.9784079135
179	0.9755407574
180	0.9730175008
181	0.9703374178
182	0.9676578088
183	0.9652305065
184	0.9624996966
185	0.9600054538
186	0.9574478737
187	0.9548918106
188	0.9523021824
189	0.9495529781
190	0.947000044
191	0.9448384175
192	0.9423785932
193	0.9399056841
194	0.937509292
195	0.9350206434
196	0.9326434043
197	0.9302082322
198	0.927785007
199	0.9252088428
200	0.9228389045
201	0.9203695985
202	0.917876778
203	0.9156135082
204	0.9133559275
205	0.9108632966
206	0.908530716
207	0.9063229139
208	0.9040568944
209	0.9020668858
210	0.8997140145
211	0.8974139559
212	0.8953288464
213	0.8930311582
214	0.8908396645
215	0.8885586641
216	0.8864700463
217	0.8843459672
218	0.8819947077
219	0.8799532137
220	0.8778408919
221	0.8758025268
222	0.8736895412
223	0.8715560752
224	0.8696412561
225	0.8675962539
226	0.865668919
227	0.8636622227
228	0.8617878902
229	0.8597317945
230	0.8576983599
231	0.8555594894
232	0.853615846
233	0.8517227399
234	0.8495547607
235	0.8474074515
236	0.8455253441
237	0.8436417196
238	0.8417692834
239	0.8396599956
240	0.8378204608
241	0.8357966975
242	0.8338210062
243	0.8319773942
244	0.8302743003
245	0.8282585964
246	0.826613151
247	0.8246767137
248	0.8229350295
249	0.8211756146
250	0.8195438227
251	0.8178179728
252	0.8160961052
253	0.8142665261
254	0.8124052783
255	0.8107130883
256	0.8090105633
257	0.8072421409
258	0.805357663
259	0.8035124392
260	0.8017808055
261	0.7999857396
262	0.7982419694
263	0.7966216503
264	0.7948481078
265	0.7932624441
266	0.7916791508
267	0.7899424919
268	0.7882933012
269	0.7866272331
270	0.7851871128
271	0.7835331812
272	0.7819966325
273	0.7803623754
274	0.7787274071
275	0.7770534219
276	0.775448226
277	0.7737998886
278	0.7721982484
279	0.7705967504
280	0.769000088
281	0.7675218988
282	0.7659523065
283	0.7643255873
284	0.7627781821
285	0.7611905273
286	0.7595696867
287	0.758004456
288	0.7564720792
289	0.7550357989
290	0.7535031851
291	0.7519761654
292	0.7507066673
293	0.7491455611
294	0.7477523276
295	0.7462998811
296	0.7448131584
297	0.7433796752
298	0.741964302
299	0.7404332526
300	0.7390147504
301	0.7376662702
302	0.7362475784
303	0.7347137319
304	0.7333901885
305	0.731987331
306	0.7305635191
307	0.7291779656
308	0.7277257088
309	0.7265137169
310	0.7251785584
311	0.7238647336
312	0.72240693
313	0.7210647551
314	0.7196548338
315	0.7182323967
316	0.7169589164
317	0.7157209922
318	0.714365543
319	0.7130746164
320	0.7117933137
321	0.710417953
322	0.7092162013
323	0.707970597
324	0.7065750878
325	0.7053008015
326	0.7039901057
327	0.7026546628
328	0.7013726489
329	0.7000286725
330	0.69877828
331	0.6976080074
332	0.6962387623
333	0.6949909773
334	0.6938361123
335	0.6926252109
336	0.6914084308
337	0.6901325326
338	0.6889697031
339	0.6877587542
340	0.6864991171
341	0.6852251152
342	0.6840811068
343	0.6827994248
344	0.681635979
345	0.6804107602
346	0.6792223303
347	0.6781107017
348	0.6769290985
349	0.6757667431
350	0.6745989831
351	0.6734322661
352	0.6722435043
353	0.6710992114
354	0.6699306455
355	0.6688571806
356	0.6676934977
357	0.6664998054
358	0.6653670328
359	0.664249004
360	0.6631668634
361	0.6620400641
362	0.6610956918
363	0.659906693
364	0.658798857
365	0.6578050854
366	0.6566783335
